Country name,Access to electricity (% of population),"GDP per capita, PPP (current international $)",Population ages 0-14 (% of total population),"School enrollment, tertiary (% gross)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",CO2 emissions (kt)
Guinea,46.81386948,2913.509484,41.83348598,6.718569756,52.51253174,4537.9
"Gambia, The",63.69736099,2291.404288,43.50260453,,58.08072376,611.4
Guinea-Bissau,35.76379395,2020.854866,40.56208968,,54.06829369,329
Equatorial Guinea,66.78699493,16254.60193,38.76640406,,45.28465901,4350.4
Greece,100,33018.25442,14.06022671,150.201767,14.2538714,51002.2
Grenada,93.74029541,15104.46454,24.07110184,,21.48591655,324.5
Greenland,100,,20.88882172,,6.462977097,
Guatemala,97.86565399,9850.904667,32.92970403,,27.64788197,16865.2
Guam,100,,26.30003401,,8.221834725,
Guyana,92.89823151,24193.56647,28.71277345,,20.10090382,2768.5
High income,99.97833877,56850.90404,16.2176556,79.08956146,14.34684355,10864997.07
"Hong Kong SAR, China",100,66248.81277,12.17367328,97.81620789,,
Honduras,94.1315918,6148.664464,30.57345173,,22.87512366,8835.4
Heavily indebted poor countries (HIPC),48.04843016,2791.129161,42.45760022,8.962380409,40.67346966,224996.636
Croatia,100,36954.43459,14.13753309,72.33335876,18.46495986,15626.9
Haiti,47.18033218,3179.257956,32.358119,,19.03230796,3209.04
Hungary,100,38643.76206,14.55346184,56.52434921,16.49434933,44769.3
IBRD only,99.10323062,15415.62029,22.92863708,47.82767105,47.84046045,20952613.31
IDA & IBRD total,90.0980679,12421.11125,27.13189943,36.37480164,47.8672085,21862973.94
IDA total,65.58440633,4285.409901,38.56257784,12.19532967,47.94239862,910360.636
IDA blend,76.61974835,5570.305395,39.26482938,11.90711021,57.79415016,465301.4
Indonesia,99.21,13086.39242,25.47648568,41.00220871,19.37146134,563197
IDA only,60.12763358,3665.269681,38.21584207,12.34027958,43.04808843,445059.236
Isle of Man,100,,14.90206317,,,
India,99.57252502,7367.994665,25.68759098,30.33391953,83.19931634,2200836.3
Not classified,,,,,,
Ireland,100,114120.5445,19.91317202,78.77760315,7.854094218,33742.2
Iran,100,16557.04618,23.81111827,,38.01508315,616561.3
Iraq,100,9695.626465,38.12091203,,48.46825216,163511.5
Iceland,100,61481.36693,18.62867404,86.52320862,5.698616135,1446.6
Israel,100,46126.64231,28.16981887,58.99428177,19.75989688,58471.8
Italy,100,49912.83903,12.65183966,71.287117,16.08828133,281286.8
Jamaica,100,10598.92702,20.29961157,,15.28940246,5835.6
Jordan,99.9,10350.48798,32.60907795,33.49145126,30.64558855,20974.1
Japan,100,44291.98393,11.77396642,,13.46980666,1014064.7
Kazakhstan,100,28811.87883,29.53260589,,20.29485447,211896.7
Kenya,76.54244995,5236.612163,38.39515565,19.98534012,21.61458718,19446.8
Kyrgyz Republic,99.67372894,5418.074951,34.46458183,52.52537918,24.07288994,9080.1
Cambodia,82.50171661,4805.080743,29.29933157,13.8764019,22.1120864,18652.8
Kiribati,92.83363342,2215.729789,36.17098872,,9.468882294,56.9
St. Kitts and Nevis,100,29198.02944,19.77356033,,8.789142812,231
"Korea, Rep.",100,48594.58113,11.89235572,100.3176804,27.44033926,569681.8
Kuwait,100,50295.28254,21.1201276,61.55804825,60.96648013,92308.9
